ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source
Ma1-1-1,Ma1,1,–,,,Szeto2018
Ma1-2-2,Ma1,2,+,,,Szeto2018
Ma1-3-3,Ma1,3,–,,,Szeto2018
Ma1-4-4,Ma1,4,–,,,Szeto2018
Ma1-5-5,Ma1,5,–,,,Szeto2018
Ma1-6-6,Ma1,6,+,,,Szeto2018
Ma1-7-7,Ma1,7,+,,,Szeto2018
Ma1-8-8,Ma1,8,+,,,Szeto2018
Ma1-9-9,Ma1,9,+,,,Szeto2018
Ma1-10-10,Ma1,10,+,,,Szeto2018
Ma1-11-11,Ma1,11,–,,,Szeto2018
Ma1-12-12,Ma1,12,–,,,Szeto2018
Ma1-13-13,Ma1,13,–,,,Szeto2018
Ma1-14-14,Ma1,14,–,,,Szeto2018
Ma1-15-15,Ma1,15,–,,,Szeto2018
Ma1-16-16,Ma1,16,–,,,Szeto2018
Ma1-17-17,Ma1,17,–,,,Szeto2018
Ma1-18-18,Ma1,18,–,,,Szeto2018
Ma1-19-19,Ma1,19,+,,,Szeto2018
Ma1-20-20,Ma1,20,+,,,Szeto2018
Ma1-21-21,Ma1,21,–,,,Szeto2018
Ma2-1-22,Ma2,1,–,,,Szeto2018
Ma2-2-23,Ma2,2,–,,,Szeto2018
Ma2-3-24,Ma2,3,–,,,Szeto2018
Ma2-4-25,Ma2,4,–,,,Szeto2018
Ma2-5-26,Ma2,5,–,,,Szeto2018
Ma2-6-27,Ma2,6,+,,,Szeto2018
Ma2-7-28,Ma2,7,+,,,Szeto2018
Ma2-8-29,Ma2,8,+,,,Szeto2018
Ma2-9-30,Ma2,9,+,,,Szeto2018
Ma2-10-31,Ma2,10,+,,,Szeto2018
Ma2-11-32,Ma2,11,–,,,Szeto2018
Ma2-12-33,Ma2,12,–,,,Szeto2018
Ma2-13-34,Ma2,13,–,,,Szeto2018
Ma2-14-35,Ma2,14,–,,,Szeto2018
Ma2-15-36,Ma2,15,–,,,Szeto2018
Ma2-16-37,Ma2,16,–,,,Szeto2018
Ma2-17-38,Ma2,17,–,,,Szeto2018
Ma2-18-39,Ma2,18,–,,,Szeto2018
Ma2-19-40,Ma2,19,+,,,Szeto2018
Ma2-20-41,Ma2,20,+,,,Szeto2018
Ma2-21-42,Ma2,21,–,,,Szeto2018
Ma3-1-43,Ma3,1,–,,,Szeto2018
Ma3-2-44,Ma3,2,–,,,Szeto2018
Ma3-3-45,Ma3,3,–,,,Szeto2018
Ma3-4-46,Ma3,4,–,,,Szeto2018
Ma3-5-47,Ma3,5,–,,,Szeto2018
Ma3-6-48,Ma3,6,+,,,Szeto2018
Ma3-7-49,Ma3,7,+,,,Szeto2018
Ma3-8-50,Ma3,8,+,,,Szeto2018
Ma3-9-51,Ma3,9,+,,,Szeto2018
Ma3-10-52,Ma3,10,–,,,Szeto2018
Ma3-11-53,Ma3,11,–,,,Szeto2018
Ma3-12-54,Ma3,12,–,,,Szeto2018
Ma3-13-55,Ma3,13,–,,,Szeto2018
