ID	Name	Description	Comment
1	tone-categories	5 or more tone categories	phonological
2	retroflex-fricative-initials	Retroflex fricative initials	phonological/diachronic
3	nasal-coda	Bilabial nasal coda 	phonological
4	stop-codas	Stop codas	phonological/diachronic
5	word-for-snake	Monosyllabic word for 'snake'	lexical
6	differentiation-hand-arm	Differentiation between 'hand' and 'arm'	lexical/semantic
7	defecate-and-urinate	Differentiation between 'defecate' and 'urinate'	lexical
8 	differentiation-eat-drink	Differentiation between 'eat' and 'drink'	lexical/semantic
9	void-suffix-in-table	Semantically void suffix in 'table'	lexical
10	differentiation-between-human-pig-classifier	Different classifiers for humans and pigs	lexical/semantic
11	subject-with-definite-reference	[CLF N] constructions in subject position with definite reference	syntactic
12	reduplicated-nouns	Reduplicated monosyllabic nouns	morphological
13	auxiliary-from-acquire	Post-verbal modal auxiliary developed from 'ge/acquire'	syntactical/diachronic
14	animal-gender-marking	Modified-modifier order in animal gender marking	syntactical
15	post-verbal-first	Post-verbal adverb meaning 'first'	lexical/syntactical
16	double-object-dative	[V DO IO] order in double object dative constructions	syntactic
17	give-as-disposal-marker	'Give' as a disposal marker	syntactic/diachronic
18	give-as-passive-marker	'Give' as a passive marker	syntactic/diachronic
19	vp-associated-motion-marker	'Go' as a post-VP associated motion marker	syntactical/diachronic
20	marker-standard-adjective-order	Marker-Standard-Adjective order in comparatives	syntactics
